ec,contest,sido,gusigun,emd,gubun,candidates,votes,top1,top2,total
3,전라남도,전라남도,강진군,성전면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,874|107|47|49|39,874,107,1116
3,전라남도,전라남도,강진군,성전면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,332|47|27|24|14,332,47,444
3,전라남도,전라남도,강진군,작천면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,502|64|37|22|32,502,64,657
3,전라남도,전라남도,강진군,작천면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,214|39|27|11|17,214,39,308
3,전라남도,전라남도,강진군,병영면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,444|46|46|24|48,444,48,608
3,전라남도,전라남도,강진군,병영면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,185|34|28|8|22,185,34,277
3,전라남도,전라남도,강진군,옴천면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,166|10|11|10|8,166,11,205
3,전라남도,전라남도,강진군,옴천면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,85|18|4|7|10,85,18,124
3,전라남도,전라남도,완도군,완도읍,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,4472|341|131|150|94,4472,341,5188
3,전라남도,전라남도,완도군,완도읍,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,3233|443|108|132|164,3233,443,4080
3,전라남도,전라남도,완도군,금일읍,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,935|44|38|21|20,935,44,1058
3,전라남도,전라남도,완도군,금일읍,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,637|53|26|18|22,637,53,756
3,전라남도,전라남도,완도군,노화읍,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,1253|70|51|50|29,1253,70,1453
3,전라남도,전라남도,완도군,노화읍,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,912|84|63|34|24,912,84,1117
3,전라남도,전라남도,완도군,군외면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,816|91|26|26|24,816,91,983
3,전라남도,전라남도,완도군,군외면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,466|76|18|19|19,466,76,598
3,전라남도,전라남도,완도군,신지면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,1047|75|42|29|24,1047,75,1217
3,전라남도,전라남도,완도군,신지면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,463|40|26|9|17,463,40,555
3,전라남도,전라남도,완도군,고금면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,1301|110|43|33|42,1301,110,1529
3,전라남도,전라남도,완도군,고금면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,489|59|40|25|26,489,59,639
3,전라남도,전라남도,완도군,약산면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,561|43|26|18|26,561,43,674
3,전라남도,전라남도,완도군,약산면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,482|51|30|16|20,482,51,599
3,전라남도,전라남도,완도군,청산면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,505|43|35|23|20,505,43,626
3,전라남도,전라남도,완도군,청산면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,433|53|26|16|16,433,53,544
3,전라남도,전라남도,완도군,소안면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,801|50|34|13|14,801,50,912
3,전라남도,전라남도,완도군,소안면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,343|42|26|8|14,343,42,433
3,전라남도,전라남도,완도군,금당면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,346|22|15|6|6,346,22,395
3,전라남도,전라남도,완도군,금당면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,94|10|2|2|3,94,10,111
3,전라남도,전라남도,완도군,보길면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,810|53|27|17|12,810,53,919
3,전라남도,전라남도,완도군,보길면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,478|52|38|9|13,478,52,590
3,전라남도,전라남도,완도군,생일면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,264|12|13|3|11,264,13,303
3,전라남도,전라남도,완도군,생일면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,75|10|4|0|5,75,10,94
3,전라남도,전라남도,해남군,해남읍,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,4307|269|119|126|60,4307,269,4881
3,전라남도,전라남도,해남군,해남읍,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,3865|471|136|108|70,3865,471,4650
3,전라남도,전라남도,해남군,삼산면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,726|47|36|24|11,726,47,844
3,전라남도,전라남도,해남군,삼산면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,507|64|27|20|24,507,64,642
3,전라남도,전라남도,해남군,화산면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,718|58|29|22|9,718,58,836
3,전라남도,전라남도,해남군,화산면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,554|68|21|28|13,554,68,684
3,전라남도,전라남도,해남군,현산면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,615|43|17|15|9,615,43,699
3,전라남도,전라남도,해남군,현산면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,588|74|24|18|14,588,74,718
